"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALOX12B",22.3137223842628,-1.29040323336418,0.392883648212126,-3.28444118057942,0.00102184825242946,0.0368391571801936
"PRMT8",196.648811326897,-1.21561791667168,0.370314085799253,-3.28266723651087,0.00102829971231241,0.0370102631116354
"FOXD2-AS1",9.6399151252429,1.17804687926539,0.359606393977728,3.27593418524797,0.00105313099352039,0.0377163398554012
"ABHD11-AS1",7.39449391136663,1.11364764157543,0.340032595255047,3.27512025939783,0.00105617002506098,0.0377605705533423
"ADRA1D",37.0349501379858,-1.42527599880155,0.435242318568321,-3.27467237903205,0.00105784577691711,0.0377605705533423
"SLC6A9",528.06878967951,1.06921648188885,0.327148397183998,3.26829197725671,0.00108198682502681,0.0382594370295708
"ETV7",10.3007683069938,-1.27254529934514,0.390301512924526,-3.26041600456522,0.00111248912493946,0.0386928709592325
"PMEL",11.4876967890424,1.15234114642636,0.353534145373951,3.25949038163617,0.00111612564984042,0.0387572399655788
"ANGPTL4",818.404583329154,-1.16237538582692,0.356805241814494,-3.25773068779983,0.00112306934235848,0.0389177580023682
"SNORA26",61.2719498843134,1.01367527083845,0.311190461776182,3.25741112067731,0.00112433462044348,0.0389177580023682
"RGS4",1936.98140684315,-1.5081858940231,0.466287785412051,-3.23445293058737,0.00121876007865618,0.0409454334165247
"SERTAD4-AS1",20.8296224658082,1.21266653563529,0.37632647099633,3.22237904876778,0.0012713082790261,0.0421883846784458
"DNAJB1",1674.37318369268,1.11439380077074,0.345977373852553,3.22100196426622,0.00127743272556796,0.0421980554687999
"MIR1914",7.46083550795045,1.17778887273927,0.366075570445715,3.21733807941691,0.00129386036696982,0.0423746390704919
"HCRTR1",7.95521106304923,-1.21137659270204,0.376733706719087,-3.21547175391266,0.00130230310371921,0.0423746390704919
"HSPA1A",1371.56649336292,1.58626594948176,0.493304467214648,3.21559210367244,0.00130175714503242,0.0423746390704919
"TUBB3",1524.37236608985,-1.00424745436917,0.31224402747444,-3.21622630380456,0.0012988836261476,0.0423746390704919
"RRAD",37.2068160100849,1.29480789058589,0.402852399934096,3.21409998003665,0.00130854101424907,0.042453163290129
"LOC101928269",4.09369294842023,1.30423010978304,0.406595620504425,3.2076836149022,0.00133808613488105,0.043055552516673
"LMNTD1",13.6337135394859,1.19979070087678,0.374111570400908,3.2070398132596,0.00134108434323692,0.043055552516673
"CDH16",2.44255456924592,-2.79342214446514,0.871408548943934,-3.20564005006665,0.00134762449178986,0.043137897264477
"OR7E47P",3.06948440312849,-2.2629284759785,0.706796098151013,-3.20167086646113,0.00136633015441379,0.0434164909827854
"FAM151A",47.0087375035175,1.08053499563414,0.338172824314131,3.19521533945147,0.00139726544048872,0.0442053234036831
"LINC01336",19.3081673429058,-1.06120196825423,0.332573841075364,-3.19087624216887,0.00141842023892334,0.044514412014575
"SEMA3G",236.029231778702,-1.06306026781865,0.333085873474305,-3.19155014510291,0.00141511544511592,0.044514412014575
"ADORA2A-AS1",44.5056641626158,1.27318452433903,0.400579631984281,3.1783556194115,0.00148112964355918,0.0450438556357153
