"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPP4R3A",755.892211458143,0.375900716999239,0.0919983461363499,4.08595081092131,4.38966782443429e-05,0.00648088168664609
"AHSG",2.11276582963146,-2.62039060496386,0.641916183590208,-4.08213824787549,4.46232378473216e-05,0.00654363602027311
"MTHFD1",533.979037712922,-0.43718500428419,0.107295417514646,-4.07459157539991,4.6095172434909e-05,0.0067141176332539
"COLEC10",9.01106367322264,-1.23774799017648,0.304163615865979,-4.06934927654811,4.71446267265603e-05,0.00677602538971217
"EDEM1",447.430557140995,-0.328290633337261,0.0806680202796521,-4.06965030503011,4.70837558650102e-05,0.00677602538971217
"SPRED3",229.835958736123,-1.08414042773314,0.266592255111906,-4.06666137873383,4.76914630980004e-05,0.00677679458723742
"NEUROD6",148.971678631675,-1.71121375216837,0.420832777534097,-4.06625587055116,4.77744814932187e-05,0.00677679458723742
"SNORA38B",107.487535291437,1.03924627605639,0.255712529539224,4.06411949359321,4.8214122322555e-05,0.00679474738160007
"AKR1C2",45.816880081557,1.16099902430276,0.286060697854275,4.05857579531667,4.93729087332517e-05,0.00691316282734039
"FSCN3",3.20252869149925,2.20672887219391,0.544013373229123,4.05638717867418,4.98376189200206e-05,0.00693349899628978
"LINC01561",87.8173054366817,1.37938088999077,0.340297009738688,4.05346168351579,5.04652687356298e-05,0.00697610017432722
"CCNA2",47.6031214169646,1.13578458316466,0.280543973208867,4.04850822555031,5.15451229464469e-05,0.00703574719060841
"GCKR",19.2783068465892,-1.08239986361856,0.26728666918015,-4.04958416721123,5.13087221535728e-05,0.00703574719060841
"ACOX1",1230.17063702758,-0.288685355328223,0.0714139853060242,-4.04242045995816,5.29022607100194e-05,0.00713129046080466
"RFX8",12.245191397649,-1.27881657432253,0.316236628422804,-4.04385975369297,5.25783777876986e-05,0.00713129046080466
"ZNF431",248.114801644182,0.48359083604147,0.119888691077384,4.03366515803671,5.49135529058683e-05,0.00735672122664234
"TASP1",151.506502559406,-0.565124349683776,0.140284714406531,-4.02841002367586,5.61553443078547e-05,0.00747692906449921
"CCDC113",267.737457671298,-0.693832203464134,0.172325458823175,-4.02628960457946,5.6663893804868e-05,0.00749863711736006
"FAM127A",1834.50354601722,-0.610059953969651,0.151723023440442,-4.02087923201139,5.79813261163017e-05,0.00762647709516422
"ARL4D",77.8610686375888,-1.17012407661749,0.291658813326642,-4.01196200200889,6.02161940450502e-05,0.00786672207524663
"KLHDC7B",3.23455545982497,-2.15582939873249,0.537516229345719,-4.01072429265369,6.05327644365382e-05,0.00786672207524663
"GPS2",386.164910064773,0.357645782484672,0.0892056821593465,4.00922647332953,6.09179709523968e-05,0.00786965906892778
"ZBTB16",2271.13117157808,0.503956364568919,0.125748431714924,4.00765526612217,6.13245449295047e-05,0.00787530531718959
"CNMD",19.8067113553323,0.914263668707113,0.228329907503458,4.00413453806207,6.22449352091153e-05,0.00794648134613782
"HEY1",311.199000504284,-0.685550139997564,0.171566132196441,-3.99583607336102,6.44663321813689e-05,0.00808735726781647
"NAT6",105.467460087606,-0.597509334778457,0.149435768959751,-3.99843584262207,6.37624590103547e-05,0.00808735726781647
"ZNF341-AS1",4.25856599396348,1.77120684178783,0.443240960499905,3.99603601569267,6.44119389078037e-05,0.00808735726781647
"COX19",338.671840289222,0.562138113648436,0.140824830641665,3.99175423174355,6.55863254872539e-05,0.008087613761647
"PDE4DIP",2633.33110355216,0.49877255054776,0.124928082801463,3.9924774267161,6.53865590815954e-05,0.008087613761647
"LINC01168",61.3291844405346,-1.62142864589927,0.405978543252362,-3.99387768848504,6.5001403977855e-05,0.008087613761647
