"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCNE2",-1.1370434665737,2.41255909027888,-3.96363582482516,0.000726081930974214,0.0369579789630965,-0.388967639421904
"ADORA2A",1.56142589558878,3.61186871111527,3.95275621094811,0.000745064597254773,0.0372944696005941,-0.412753061422364
"DLX4",-1.86450701682086,1.62751461324383,-3.94621476143484,0.000756714979342352,0.0375360189661144,-0.427051854827507
"RBM3",-1.02275842001111,8.39941140731807,-3.94516465597402,0.00075860203838822,0.0375360189661144,-0.429347084662484
"CITED1",-1.0494016656152,5.22424357553219,-3.94271083441297,0.000763029874737109,0.0376381827302141,-0.434710250389575
"LOC100129316",1.36410478119286,4.75603907881684,3.94164585038281,0.000764959594419774,0.0376648889230644,-0.437037838648765
"GCNT4",-1.10492188309211,6.16804420258328,-3.93822642123908,0.000771188380724014,0.0377659580668637,-0.444510876102542
"GNAS-AS1",1.00975903454839,2.59192749294296,3.93057246196724,0.000785314192151962,0.0381137281450496,-0.461236440191543
"BDNF",-1.01197333907483,6.19504560664964,-3.92610342090489,0.000793680752528351,0.0381782957732166,-0.471001038202801
"SELE",-2.23528630117888,4.23507114566004,-3.91904673711629,0.000807072528785559,0.038617068264466,-0.486417600496032
"ZNF215",-1.03260758520087,4.80647318382328,-3.91744358034097,0.000810146094123283,0.0386278796723457,-0.489919650319515
"HILS1",1.08593762434011,4.45947276788696,3.9163731118187,0.000812204869155351,0.0386389314488003,-0.492257989784885
"ADAMTS2",1.3091895053417,7.35521743727205,3.91425370271378,0.000816296373193892,0.0386494251391803,-0.496887480905525
"FAM182B",-1.06876117464686,5.13191525656604,-3.90971204392854,0.000825133146225251,0.0388165381403633,-0.506807235686337
"EFCAB3",-1.05087305081843,0.708731226515414,-3.90317491688025,0.000838019733892405,0.0391990954836223,-0.521083654266746
"MRGPRF",1.27144328845549,5.69870978889,3.90231056683772,0.000839738526922775,0.039211886807943,-0.522971147370156
"LOC100506274",-1.79412172020677,2.51724584255431,-3.89131287615619,0.000861916177444558,0.0397918381926605,-0.54698364186955
"NLRP14",-1.00891363775505,3.21538929998221,-3.89071452080196,0.000863139362338848,0.0397918381926605,-0.548289919665786
"SFTPA1",-1.34331859372625,3.68028220445602,-3.88551795612395,0.000873835209638022,0.0399783292368963,-0.559633821442437
"HIF3A",1.23937466921262,9.99721889493685,3.88286844673661,0.000879339153353883,0.0400949096310771,-0.565417048683909
"DNASE1L2",1.07046175729576,6.91329182353762,3.86977781430269,0.000907042436047837,0.0410292055263046,-0.593985101407315
"AKR1C2",1.01082617974436,5.41730206895055,3.86772025348223,0.000911474925293647,0.0410769347561738,-0.598474514256798
"SUCNR1",-1.48050586639207,1.66516068832515,-3.86669243838113,0.000913697140164837,0.0411087950458906,-0.600717025534995
"CLEC4F",-1.6324387585239,1.33276736450527,-3.83919526389788,0.000975186824488755,0.0428260044054002,-0.660688323234114
"LOC727993",1.10716961607802,1.98984825512773,3.8362588353284,0.000981991293232226,0.0429008434547348,-0.667090003290056
"PLK4",-1.30108201992641,4.03382240561212,-3.81692555494341,0.00102798268133367,0.0438508964537462,-0.709224832737339
"RGS4",-1.6871501977941,10.3042300509828,-3.81526621386009,0.0010320281988446,0.0438854624367617,-0.712840075789573
"TRPA1",-1.18317563442163,3.96170807801727,-3.79515173980707,0.00108234152639282,0.0449677268162897,-0.756649379830183
"LINC01119",-1.00249863732951,2.75552106057852,-3.77419538271687,0.00113734742048113,0.0461229230458192,-0.802262623695876
"LINC00906",1.23337980713713,1.74154269981329,3.77001513158081,0.00114864656963436,0.0465116140808658,-0.811357519571517
"LRTM2",-1.02680135175253,8.49476896618372,-3.74906268342849,0.00120697767383437,0.0475258407708656,-0.856923766954215
"DNAJB5-AS1",1.13741367625137,1.97147385139011,3.73584161966725,0.00124528413538841,0.0481466532501657,-0.885658863927087
"HECTD2-AS1",-1.28856558525766,2.42646580040534,-3.73376777783411,0.0012514010473443,0.0482251568387086,-0.890164966574452
"TLDC2",1.00618065963368,4.89584373860841,3.73304840793976,0.00125352980725515,0.0482386718735209,-0.89172795356995
"VSNL1",-1.24344524233612,11.8911381099246,-3.72760027523298,0.00126976868335625,0.0485879046254656,-0.903563849253911
"MSC-AS1",-1.08754607716698,5.14887514179222,-3.72043982743928,0.00129142825970497,0.049208495345219,-0.919116021629383
"HES5",-1.57703012146376,6.25093358641843,-3.71844375086324,0.00129753104936612,0.0492854351933181,-0.923450658693152
